Target_memory,Target_time,Neural_Network,Dataset,Batch_size,Occupied_memory,Memory_epsilon,One_iteration_inference_time,Iterations
20%,3600s,mobilenet_v2,CIFAR10,64,224.0MB,1343.0MB,1.3204712867736816s,2726
20%,3600s,resnet18,CIFAR10,64,226.0MB,1341.0MB,1.0850450992584229s,3317
20%,3600s,LeNet5,MNIST,64,148.0MB,1419.0MB,0.4557769298553467s,7898
30%,3600s,mnasnet0_5,CIFAR10,64,172.0MB,2178.5MB,0.9634661674499512s,3736
30%,3600s,mobilenet_v2,CIFAR10,64,224.0MB,2126.5MB,1.3434631824493408s,2679
30%,3600s,resnet18,CIFAR10,64,226.0MB,2124.5MB,1.1066341400146484s,3253
30%,3600s,LeNet5,MNIST,64,148.0MB,2202.5MB,0.4721713066101074s,7624
40%,3600s,mnasnet0_5,CIFAR10,64,172.0MB,2962.0MB,0.9931685924530029s,3624
40%,3600s,mobilenet_v2,CIFAR10,64,224.0MB,2910.0MB,1.3654515743255615s,2636
40%,3600s,resnet18,CIFAR10,64,226.0MB,2908.0MB,1.1077651977539062s,3249
40%,3600s,LeNet5,MNIST,64,148.0MB,2986.0MB,0.5197224617004395s,6926
45%,3600s,mnasnet0_5,CIFAR10,64,172.0MB,3353.75MB,0.9637160301208496s,3735
45%,3600s,mobilenet_v2,CIFAR10,64,224.0MB,3301.75MB,1.3157527446746826s,2736
45%,3600s,resnet18,CIFAR10,64,226.0MB,3299.75MB,1.1170880794525146s,3222
45%,3600s,LeNet5,MNIST,64,148.0MB,3377.75MB,0.4829692840576172s,7453
50%,3600s,mnasnet0_5,CIFAR10,64,172.0MB,3745.5MB,1.1705024242401123s,3075
50%,3600s,mobilenet_v2,CIFAR10,64,224.0MB,3693.5MB,1.4165937900543213s,2541
50%,3600s,resnet18,CIFAR10,64,226.0MB,3691.5MB,1.1236863136291504s,3203
50%,3600s,LeNet5,MNIST,64,148.0MB,3769.5MB,0.5627145767211914s,6397
60%,3600s,mnasnet0_5,CIFAR10,64,172.0MB,4529.0MB,0.9410223960876465s,3825
60%,3600s,mobilenet_v2,CIFAR10,64,224.0MB,4477.0MB,1.3174128532409668s,2732
60%,3600s,resnet18,CIFAR10,64,226.0MB,4475.0MB,1.1157245635986328s,3226
60%,3600s,LeNet5,MNIST,64,148.0MB,4553.0MB,0.45261454582214355s,7953
70%,3600s,mnasnet0_5,CIFAR10,64,172.0MB,5312.5MB,0.9672164916992188s,3722
70%,3600s,mobilenet_v2,CIFAR10,64,224.0MB,5260.5MB,1.3949294090270996s,2580
70%,3600s,resnet18,CIFAR10,64,226.0MB,5258.5MB,1.2109837532043457s,2972
70%,3600s,LeNet5,MNIST,64,148.0MB,5336.5MB,0.6090431213378906s,5910
80%,3600s,mnasnet0_5,CIFAR10,64,172.0MB,6096.0MB,0.9847233295440674s,3655
80%,3600s,mobilenet_v2,CIFAR10,64,224.0MB,6044.0MB,1.406529188156128s,2559
80%,3600s,resnet18,CIFAR10,64,226.0MB,6042.0MB,1.1644833087921143s,3091
80%,3600s,LeNet5,MNIST,64,148.0MB,6120.0MB,0.4918231964111328s,7319
90%,3600s,mnasnet0_5,CIFAR10,64,172.0MB,6879.5MB,0.9925081729888916s,3627
90%,3600s,mobilenet_v2,CIFAR10,64,224.0MB,6827.5MB,1.4009027481079102s,2569
90%,3600s,resnet18,CIFAR10,64,226.0MB,6825.5MB,1.1160809993743896s,3225
90%,3600s,LeNet5,MNIST,64,148.0MB,6903.5MB,0.4668457508087158s,7711
95%,3600s,mnasnet0_5,CIFAR10,64,172.0MB,7271.25MB,0.9571728706359863s,3761
95%,3600s,mobilenet_v2,CIFAR10,64,224.0MB,7219.25MB,1.3492567539215088s,2668
95%,3600s,resnet18,CIFAR10,64,226.0MB,7217.25MB,1.0918262004852295s,3297
95%,3600s,LeNet5,MNIST,64,148.0MB,7295.25MB,0.5217041969299316s,6900
10%,3600s,mnasnet0_5,CIFAR10,128,196.0MB,587.5MB,0.9192194938659668s,3916
10%,3600s,mobilenet_v2,CIFAR10,128,300.0MB,483.5MB,1.3266808986663818s,2713
10%,3600s,resnet18,CIFAR10,128,258.0MB,525.5MB,1.0979399681091309s,3278
10%,3600s,LeNet5,MNIST,128,148.0MB,635.5MB,0.47036314010620117s,7653
20%,3600s,mnasnet0_5,CIFAR10,128,196.0MB,1371.0MB,0.919560432434082s,3914
20%,3600s,mobilenet_v2,CIFAR10,128,300.0MB,1267.0MB,1.257007360458374s,2863
20%,3600s,resnet18,CIFAR10,128,258.0MB,1309.0MB,1.083272933959961s,3323
20%,3600s,LeNet5,MNIST,128,148.0MB,1419.0MB,0.43924641609191895s,8195
30%,3600s,mnasnet0_5,CIFAR10,128,196.0MB,2154.5MB,0.8987581729888916s,4005
30%,3600s,mobilenet_v2,CIFAR10,128,300.0MB,2050.5MB,1.264451503753662s,2847
30%,3600s,resnet18,CIFAR10,128,258.0MB,2092.5MB,1.0975971221923828s,3279
30%,3600s,LeNet5,MNIST,128,148.0MB,2202.5MB,0.46370434761047363s,7763
40%,3600s,mnasnet0_5,CIFAR10,128,196.0MB,2938.0MB,0.9122645854949951s,3946
40%,3600s,mobilenet_v2,CIFAR10,128,300.0MB,2834.0MB,1.2533462047576904s,2872
40%,3600s,resnet18,CIFAR10,128,258.0MB,2876.0MB,1.134185552597046s,3174
40%,3600s,LeNet5,MNIST,128,148.0MB,2986.0MB,0.496906042098999s,7244
45%,3600s,mnasnet0_5,CIFAR10,128,196.0MB,3329.75MB,0.9364528656005859s,3844
45%,3600s,mobilenet_v2,CIFAR10,128,300.0MB,3225.75MB,1.2555394172668457s,2867
45%,3600s,resnet18,CIFAR10,128,258.0MB,3267.75MB,1.103344440460205s,3262
45%,3600s,LeNet5,MNIST,128,148.0MB,3377.75MB,0.42711544036865234s,8428
50%,3600s,mnasnet0_5,CIFAR10,128,196.0MB,3721.5MB,0.95365309715271s,3774
50%,3600s,mobilenet_v2,CIFAR10,128,300.0MB,3617.5MB,1.3826091289520264s,2603
50%,3600s,resnet18,CIFAR10,128,258.0MB,3659.5MB,1.1316654682159424s,3181
50%,3600s,LeNet5,MNIST,128,148.0MB,3769.5MB,0.47623729705810547s,7559
60%,3600s,mnasnet0_5,CIFAR10,128,196.0MB,4505.0MB,1.0267503261566162s,3506
60%,3600s,mobilenet_v2,CIFAR10,128,300.0MB,4401.0MB,1.2813973426818848s,2809
60%,3600s,resnet18,CIFAR10,128,258.0MB,4443.0MB,1.0943121910095215s,3289
60%,3600s,LeNet5,MNIST,128,148.0MB,4553.0MB,0.46391797065734863s,7759
70%,3600s,mnasnet0_5,CIFAR10,128,196.0MB,5288.5MB,0.9449727535247803s,3809
70%,3600s,mobilenet_v2,CIFAR10,128,300.0MB,5184.5MB,1.3051748275756836s,2758
70%,3600s,resnet18,CIFAR10,128,258.0MB,5226.5MB,1.1284253597259521s,3190
70%,3600s,LeNet5,MNIST,128,148.0MB,5336.5MB,0.420642614364624s,8558
80%,3600s,mnasnet0_5,CIFAR10,128,196.0MB,6072.0MB,0.9062740802764893s,3972
80%,3600s,mobilenet_v2,CIFAR10,128,300.0MB,5968.0MB,1.2644553184509277s,2847
80%,3600s,resnet18,CIFAR10,128,258.0MB,6010.0MB,1.095109462738037s,3287
80%,3600s,LeNet5,MNIST,128,148.0MB,6120.0MB,0.42275500297546387s,8515
90%,3600s,mnasnet0_5,CIFAR10,128,196.0MB,6855.5MB,0.8968074321746826s,4014
90%,3600s,mobilenet_v2,CIFAR10,128,300.0MB,6751.5MB,1.2702507972717285s,2834
90%,3600s,resnet18,CIFAR10,128,258.0MB,6793.5MB,1.113131046295166s,3234
